link,num_lien,pays,ligue,annee,equipes
/matches/1827729/live/angleterre-championship-2024-2025-sheffield-wednesday-derby,1827729,,,,
/matches/1827730/live/angleterre-championship-2024-2025-plymouth-bristol-city,1827730,,,,
/matches/1827731/live/angleterre-championship-2024-2025-millwall-queens-park-rangers,1827731,,,,
/matches/1827732/live/angleterre-championship-2024-2025-plymouth-millwall,1827732,,,,
/matches/1827733/live/angleterre-championship-2024-2025-queens-park-rangers-blackburn,1827733,,,,
/matches/1827734/live/angleterre-championship-2024-2025-queens-park-rangers-sheffield-wednesday,1827734,,,,
/matches/1827735/live/angleterre-championship-2024-2025-sheffield-united-portsmouth,1827735,,,,
/matches/1827736/live/angleterre-championship-2024-2025-sheffield-united-hull,1827736,,,,
/matches/1827737/live/angleterre-championship-2024-2025-stoke-middlesbrough,1827737,,,,
/matches/1827738/live/angleterre-championship-2024-2025-stoke-oxford,1827738,,,,
/matches/1827739/live/angleterre-championship-2024-2025-sunderland-watford,1827739,,,,
/matches/1827740/live/angleterre-championship-2024-2025-sunderland-plymouth,1827740,,,,
/matches/1827741/live/angleterre-championship-2024-2025-west-bromwich-albion-sheffield-wednesday,1827741,,,,
/matches/1827742/live/angleterre-championship-2024-2025-west-bromwich-albion-portsmouth,1827742,,,,
/matches/1827743/live/angleterre-championship-2024-2025-blackburn-preston,1827743,,,,
/matches/1827744/live/angleterre-championship-2024-2025-bristol-city-stoke,1827744,,,,
/matches/1827745/live/angleterre-championship-2024-2025-derby-sheffield-united,1827745,,,,
/matches/1827746/live/angleterre-championship-2024-2025-coventry-queens-park-rangers,1827746,,,,
/matches/1827747/live/angleterre-championship-2024-2025-hull-stoke,1827747,,,,
/matches/1827748/live/angleterre-championship-2024-2025-derby-oxford,1827748,,,,
/matches/1827749/live/angleterre-championship-2024-2025-middlesbrough-sunderland,1827749,,,,
/matches/1827750/live/angleterre-championship-2024-2025-norwich-preston,1827750,,,,
/matches/1827751/live/angleterre-championship-2024-2025-preston-middlesbrough,1827751,,,,
/matches/1827752/live/angleterre-championship-2024-2025-preston-millwall,1827752,,,,
/matches/1827753/live/angleterre-championship-2024-2025-oxford-bristol-city,1827753,,,,
/matches/1827754/live/angleterre-championship-2024-2025-watford-leeds,1827754,,,,
/matches/1827755/live/angleterre-championship-2024-2025-plymouth-west-bromwich-albion,1827755,,,,
/matches/1827756/live/angleterre-championship-2024-2025-burnley-hull,1827756,,,,
/matches/1827757/live/angleterre-championship-2024-2025-portsmouth-burnley,1827757,,,,
/matches/1827758/live/angleterre-championship-2024-2025-sheffield-united-middlesbrough,1827758,,,,
/matches/1827759/live/angleterre-championship-2024-2025-sheffield-wednesday-luton,1827759,,,,
/matches/1827760/live/angleterre-championship-2024-2025-sunderland-luton,1827760,,,,
/matches/1827761/live/angleterre-championship-2024-2025-watford-norwich,1827761,,,,
/matches/1827762/live/angleterre-championship-2024-2025-west-bromwich-albion-blackburn,1827762,,,,
/matches/1827763/live/angleterre-championship-2024-2025-burnley-oxford,1827763,,,,
/matches/1827764/live/angleterre-championship-2024-2025-blackburn-plymouth,1827764,,,,
/matches/1827765/live/angleterre-championship-2024-2025-coventry-leeds,1827765,,,,
/matches/1827766/live/angleterre-championship-2024-2025-hull-norwich,1827766,,,,
/matches/1827767/live/angleterre-championship-2024-2025-queens-park-rangers-sheffield-united,1827767,,,,
/matches/1827768/live/angleterre-championship-2024-2025-leeds-sunderland,1827768,,,,
/matches/1827769/live/angleterre-championship-2024-2025-middlesbrough-derby,1827769,,,,
/matches/1827770/live/angleterre-championship-2024-2025-luton-sheffield-united,1827770,,,,
/matches/1827771/live/angleterre-championship-2024-2025-luton-portsmouth,1827771,,,,
/matches/1827772/live/angleterre-championship-2024-2025-luton-plymouth,1827772,,,,
/matches/1827773/live/angleterre-championship-2024-2025-leeds-west-bromwich-albion,1827773,,,,
/matches/1827774/live/angleterre-championship-2024-2025-norwich-derby,1827774,,,,
/matches/1827775/live/angleterre-championship-2024-2025-hull-plymouth,1827775,,,,
/matches/1827776/live/angleterre-championship-2024-2025-blackburn-norwich,1827776,,,,
/matches/1827777/live/angleterre-championship-2024-2025-oxford-coventry,1827777,,,,
/matches/1827778/live/angleterre-championship-2024-2025-plymouth-sheffield-wednesday,1827778,,,,
/matches/1827779/live/angleterre-championship-2024-2025-millwall-bristol-city,1827779,,,,
/matches/1827780/live/angleterre-championship-2024-2025-watford-millwall,1827780,,,,
/matches/1827781/live/angleterre-championship-2024-2025-sheffield-united-preston,1827781,,,,
/matches/1827782/live/angleterre-championship-2024-2025-portsmouth-leeds,1827782,,,,
/matches/1827783/live/angleterre-championship-2024-2025-middlesbrough-watford,1827783,,,,
/matches/1827784/live/angleterre-championship-2024-2025-norwich-oxford,1827784,,,,
/matches/1827785/live/angleterre-championship-2024-2025-derby-millwall,1827785,,,,
/matches/1827786/live/angleterre-championship-2024-2025-derby-blackburn,1827786,,,,
/matches/1827787/live/angleterre-championship-2024-2025-coventry-preston,1827787,,,,
/matches/1827788/live/angleterre-championship-2024-2025-coventry-stoke,1827788,,,,
/matches/1827789/live/angleterre-championship-2024-2025-burnley-luton,1827789,,,,
/matches/1827790/live/angleterre-championship-2024-2025-burnley-sheffield-wednesday,1827790,,,,
/matches/1827791/live/angleterre-championship-2024-2025-bristol-city-middlesbrough,1827791,,,,
/matches/1827792/live/angleterre-championship-2024-2025-bristol-city-hull,1827792,,,,
/matches/1827793/live/angleterre-championship-2024-2025-sheffield-wednesday-coventry,1827793,,,,
/matches/1827794/live/angleterre-championship-2024-2025-stoke-watford,1827794,,,,
/matches/1827795/live/angleterre-championship-2024-2025-queens-park-rangers-derby,1827795,,,,
/matches/1827796/live/angleterre-championship-2024-2025-preston-burnley,1827796,,,,
/matches/1827797/live/angleterre-championship-2024-2025-oxford-portsmouth,1827797,,,,
/matches/1827798/live/angleterre-championship-2024-2025-millwall-west-bromwich-albion,1827798,,,,
/matches/1827799/live/angleterre-championship-2024-2025-portsmouth-plymouth,1827799,,,,
/matches/1827800/live/angleterre-championship-2024-2025-middlesbrough-queens-park-rangers,1827800,,,,
/matches/1827801/live/angleterre-championship-2024-2025-derby-coventry,1827801,,,,
/matches/1827802/live/angleterre-championship-2024-2025-burnley-west-bromwich-albion,1827802,,,,
/matches/1827803/live/angleterre-championship-2024-2025-west-bromwich-albion-queens-park-rangers,1827803,,,,
/matches/1827804/live/angleterre-championship-2024-2025-sheffield-wednesday-sunderland,1827804,,,,
/matches/1827805/live/angleterre-championship-2024-2025-oxford-watford,1827805,,,,
/matches/1827806/live/angleterre-championship-2024-2025-sunderland-preston,1827806,,,,
/matches/1827807/live/angleterre-championship-2024-2025-leeds-millwall,1827807,,,,
/matches/1827808/live/angleterre-championship-2024-2025-swansea-luton,1827808,,,,
/matches/1827809/live/angleterre-championship-2024-2025-millwall-stoke,1827809,,,,
/matches/1827810/live/angleterre-championship-2024-2025-portsmouth-blackburn,1827810,,,,
/matches/1827811/live/angleterre-championship-2024-2025-plymouth-derby,1827811,,,,
/matches/1827812/live/angleterre-championship-2024-2025-sheffield-united-coventry,1827812,,,,
/matches/1827813/live/angleterre-championship-2024-2025-preston-portsmouth,1827813,,,,
/matches/1827814/live/angleterre-championship-2024-2025-stoke-queens-park-rangers,1827814,,,,
/matches/1827815/live/angleterre-championship-2024-2025-sunderland-millwall,1827815,,,,
/matches/1827816/live/angleterre-championship-2024-2025-watford-plymouth,1827816,,,,
/matches/1827817/live/angleterre-championship-2024-2025-cardiff-sheffield-united,1827817,,,,
/matches/1827818/live/angleterre-championship-2024-2025-hull-swansea,1827818,,,,
/matches/1827819/live/angleterre-championship-2024-2025-oxford-cardiff,1827819,,,,
/matches/1827820/live/angleterre-championship-2024-2025-swansea-queens-park-rangers,1827820,,,,
/matches/1827821/live/angleterre-championship-2024-2025-norwich-west-bromwich-albion,1827821,,,,
/matches/1827822/live/angleterre-championship-2024-2025-watford-cardiff,1827822,,,,
/matches/1827823/live/angleterre-championship-2024-2025-cardiff-coventry,1827823,,,,
/matches/1827824/live/angleterre-championship-2024-2025-portsmouth-swansea,1827824,,,,
/matches/1827825/live/angleterre-championship-2024-2025-middlesbrough-cardiff,1827825,,,,
/matches/1827826/live/angleterre-championship-2024-2025-swansea-west-bromwich-albion,1827826,,,,
/matches/1827827/live/angleterre-championship-2024-2025-cardiff-swansea,1827827,,,,
/matches/1827828/live/angleterre-championship-2024-2025-millwall-cardiff,1827828,,,,
/matches/1827829/live/angleterre-championship-2024-2025-swansea-sheffield-united,1827829,,,,
/matches/1827830/live/angleterre-championship-2024-2025-cardiff-derby,1827830,,,,
/matches/1827831/live/angleterre-championship-2024-2025-hull-oxford,1827831,,,,
/matches/1827832/live/angleterre-championship-2024-2025-norwich-sheffield-wednesday,1827832,,,,
/matches/1827833/live/angleterre-championship-2024-2025-sheffield-united-bristol-city,1827833,,,,
/matches/1827834/live/angleterre-championship-2024-2025-bristol-city-norwich,1827834,,,,
/matches/1827835/live/angleterre-championship-2024-2025-coventry-sunderland,1827835,,,,
/matches/1827836/live/angleterre-championship-2024-2025-luton-middlesbrough,1827836,,,,
/matches/1827837/live/angleterre-championship-2024-2025-stoke-blackburn,1827837,,,,
/matches/1827838/live/angleterre-championship-2024-2025-queens-park-rangers-leeds,1827838,,,,
/matches/1827839/live/angleterre-championship-2024-2025-sheffield-wednesday-sheffield-united,1827839,,,,
/matches/1827840/live/angleterre-championship-2024-2025-west-bromwich-albion-hull,1827840,,,,
/matches/1827841/live/angleterre-championship-2024-2025-burnley-bristol-city,1827841,,,,
/matches/1827843/live/angleterre-championship-2024-2025-hull-luton,1827843,,,,
/matches/1827844/live/angleterre-championship-2024-2025-middlesbrough-oxford,1827844,,,,
/matches/1827845/live/angleterre-championship-2024-2025-sheffield-united-leeds,1827845,,,,
/matches/1827846/live/angleterre-championship-2024-2025-west-bromwich-albion-oxford,1827846,,,,
/matches/1827847/live/angleterre-championship-2024-2025-watford-luton,1827847,,,,
/matches/1827848/live/angleterre-championship-2024-2025-sunderland-hull,1827848,,,,
/matches/1827849/live/angleterre-championship-2024-2025-portsmouth-queens-park-rangers,1827849,,,,
/matches/1827850/live/angleterre-championship-2024-2025-norwich-stoke,1827850,,,,
/matches/1827853/live/angleterre-championship-2024-2025-norwich-swansea,1827853,,,,
/matches/1827886/live/angleterre-championship-2024-2025-leeds-swansea,1827886,,,,
/matches/1827893/live/angleterre-championship-2024-2025-cardiff-burnley,1827893,,,,
/matches/1827895/live/angleterre-championship-2024-2025-swansea-coventry,1827895,,,,
/matches/1827897/live/angleterre-championship-2024-2025-bristol-city-swansea,1827897,,,,
/matches/1827899/live/angleterre-championship-2024-2025-cardiff-hull,1827899,,,,
/matches/1827901/live/angleterre-championship-2024-2025-portsmouth-cardiff,1827901,,,,
/matches/1827903/live/angleterre-championship-2024-2025-swansea-sheffield-wednesday,1827903,,,,
/matches/1827905/live/angleterre-championship-2024-2025-cardiff-bristol-city,1827905,,,,
/matches/1827907/live/angleterre-championship-2024-2025-stoke-swansea,1827907,,,,
/matches/1827909/live/angleterre-championship-2024-2025-plymouth-cardiff,1827909,,,,
/matches/1827911/live/angleterre-championship-2024-2025-swansea-blackburn,1827911,,,,
/matches/1827913/live/angleterre-championship-2024-2025-leeds-cardiff,1827913,,,,
/matches/1827916/live/angleterre-championship-2024-2025-preston-swansea,1827916,,,,
/matches/1827918/live/angleterre-championship-2024-2025-sunderland-cardiff,1827918,,,,
/matches/1827919/live/angleterre-championship-2024-2025-swansea-middlesbrough,1827919,,,,
/matches/1827921/live/angleterre-championship-2024-2025-cardiff-luton,1827921,,,,
/matches/1827922/live/angleterre-championship-2024-2025-watford-swansea,1827922,,,,
/matches/1827923/live/angleterre-championship-2024-2025-blackburn-cardiff,1827923,,,,
/matches/1827924/live/angleterre-championship-2024-2025-swansea-burnley,1827924,,,,
/matches/1827925/live/angleterre-championship-2024-2025-cardiff-sheffield-wednesday,1827925,,,,
/matches/1827947/live/angleterre-league-two-2024-2025-milton-keynes-dons-bradford,1827947,angleterre,league-two,2024-2025,milton-keynes-dons-bradford
/matches/1827950/live/angleterre-league-two-2024-2025-salford-city-port-vale,1827950,angleterre,league-two,2024-2025,salford-city-port-vale
/matches/1827952/live/angleterre-league-two-2024-2025-tranmere-notts-co-,1827952,angleterre,league-two,2024-2025,tranmere-notts-co-
/matches/1827959/live/angleterre-league-one-2024-2025-barnsley-mansfield,1827959,angleterre,league-one,2024-2025,barnsley-mansfield
/matches/1827960/live/angleterre-league-two-2024-2025-fleetwood-grimsby,1827960,angleterre,league-two,2024-2025,fleetwood-grimsby
/matches/1827961/live/angleterre-league-two-2024-2025-chesterfield-swindon,1827961,angleterre,league-two,2024-2025,chesterfield-swindon
/matches/1827962/live/angleterre-league-two-2024-2025-afc-wimbledon-colchester,1827962,angleterre,league-two,2024-2025,afc-wimbledon-colchester
/matches/1827963/live/angleterre-league-two-2024-2025-barrow-crewe,1827963,angleterre,league-two,2024-2025,barrow-crewe
/matches/1827964/live/angleterre-league-two-2024-2025-doncaster-accrington,1827964,angleterre,league-two,2024-2025,doncaster-accrington
/matches/1827965/live/angleterre-league-two-2024-2025-gillingham-carlisle,1827965,angleterre,league-two,2024-2025,gillingham-carlisle
/matches/1827966/live/angleterre-league-two-2024-2025-harrogate-town-bromley,1827966,angleterre,league-two,2024-2025,harrogate-town-bromley
/matches/1827967/live/angleterre-league-two-2024-2025-walsall-morecambe,1827967,angleterre,league-two,2024-2025,walsall-morecambe
/matches/1827968/live/angleterre-league-two-2024-2025-cheltenham-newport,1827968,angleterre,league-two,2024-2025,cheltenham-newport
/matches/1827969/live/angleterre-league-two-2024-2025-accrington-harrogate-town,1827969,angleterre,league-two,2024-2025,accrington-harrogate-town
/matches/1827970/live/angleterre-league-two-2024-2025-bradford-salford-city,1827970,angleterre,league-two,2024-2025,bradford-salford-city
/matches/1827971/live/angleterre-league-two-2024-2025-newport-accrington,1827971,angleterre,league-two,2024-2025,newport-accrington
/matches/1827972/live/angleterre-league-two-2024-2025-milton-keynes-dons-walsall,1827972,angleterre,league-two,2024-2025,milton-keynes-dons-walsall
/matches/1827973/live/angleterre-league-two-2024-2025-salford-city-milton-keynes-dons,1827973,angleterre,league-two,2024-2025,salford-city-milton-keynes-dons
/matches/1827974/live/angleterre-league-two-2024-2025-afc-wimbledon-fleetwood,1827974,angleterre,league-two,2024-2025,afc-wimbledon-fleetwood
/matches/1827975/live/angleterre-league-two-2024-2025-fleetwood-salford-city,1827975,angleterre,league-two,2024-2025,fleetwood-salford-city
/matches/1827976/live/angleterre-league-two-2024-2025-harrogate-town-barrow,1827976,angleterre,league-two,2024-2025,harrogate-town-barrow
/matches/1827977/live/angleterre-league-two-2024-2025-accrington-colchester,1827977,angleterre,league-two,2024-2025,accrington-colchester
/matches/1827978/live/angleterre-league-two-2024-2025-gillingham-tranmere,1827978,angleterre,league-two,2024-2025,gillingham-tranmere
/matches/1827979/live/angleterre-league-two-2024-2025-port-vale-doncaster,1827979,angleterre,league-two,2024-2025,port-vale-doncaster
/matches/1827980/live/angleterre-league-two-2024-2025-bromley-crewe,1827980,angleterre,league-two,2024-2025,bromley-crewe
/matches/1827981/live/angleterre-league-two-2024-2025-carlisle-fleetwood,1827981,angleterre,league-two,2024-2025,carlisle-fleetwood
/matches/1827982/live/angleterre-league-two-2024-2025-swindon-notts-co-,1827982,angleterre,league-two,2024-2025,swindon-notts-co-
/matches/1827983/live/angleterre-league-two-2024-2025-carlisle-tranmere,1827983,angleterre,league-two,2024-2025,carlisle-tranmere
/matches/1827984/live/angleterre-league-two-2024-2025-bromley-notts-co-,1827984,angleterre,league-two,2024-2025,bromley-notts-co-
/matches/1827985/live/angleterre-league-two-2024-2025-walsall-cheltenham,1827985,angleterre,league-two,2024-2025,walsall-cheltenham
/matches/1827986/live/angleterre-league-two-2024-2025-gillingham-chesterfield,1827986,angleterre,league-two,2024-2025,gillingham-chesterfield
/matches/1827987/live/angleterre-league-two-2024-2025-grimsby-bradford,1827987,angleterre,league-two,2024-2025,grimsby-bradford
/matches/1827988/live/angleterre-league-two-2024-2025-barrow-swindon,1827988,angleterre,league-two,2024-2025,barrow-swindon
/matches/1827989/live/angleterre-league-two-2024-2025-accrington-crewe,1827989,angleterre,league-two,2024-2025,accrington-crewe
/matches/1827990/live/angleterre-league-two-2024-2025-bradford-carlisle,1827990,angleterre,league-two,2024-2025,bradford-carlisle
/matches/1827991/live/angleterre-league-two-2024-2025-afc-wimbledon-milton-keynes-dons,1827991,angleterre,league-two,2024-2025,afc-wimbledon-milton-keynes-dons
/matches/1827992/live/angleterre-league-two-2024-2025-newport-doncaster,1827992,angleterre,league-two,2024-2025,newport-doncaster
/matches/1827993/live/angleterre-league-two-2024-2025-cheltenham-harrogate-town,1827993,angleterre,league-two,2024-2025,cheltenham-harrogate-town
/matches/1827994/live/angleterre-league-two-2024-2025-tranmere-afc-wimbledon,1827994,angleterre,league-two,2024-2025,tranmere-afc-wimbledon
/matches/1827995/live/angleterre-league-two-2024-2025-chesterfield-grimsby,1827995,angleterre,league-two,2024-2025,chesterfield-grimsby
/matches/1827996/live/angleterre-league-two-2024-2025-notts-co-accrington,1827996,angleterre,league-two,2024-2025,notts-co-accrington
/matches/1827997/live/angleterre-league-two-2024-2025-chesterfield-salford-city,1827997,angleterre,league-two,2024-2025,chesterfield-salford-city
