annee,pays,league,lien
2006/2007,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/677/france-ligue-1
2005/2006,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/787/france-ligue-1
2004/2005,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/563/france-ligue-1
2003/2004,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/394/france-ligue-1
2002/2003,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/269/france-ligue-1
2001/2002,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/161/france-ligue-1
2000/2001,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/63/france-ligue-1
1999/2000,france,ligue 1,https://fr.whoscored.com/Regions/74/Tournaments/22/Seasons/22/france-ligue-1
2025/2026,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/10743/angleterre-premier-league
2024/2025,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/10316/angleterre-premier-league
2023/2024,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/9618/angleterre-premier-league
2022/2023,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/9075/angleterre-premier-league
2021/2022,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/8618/angleterre-premier-league
2020/2021,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/8228/angleterre-premier-league
2019/2020,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/7811/angleterre-premier-league
2018/2019,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/7361/angleterre-premier-league
2017/2018,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/6829/angleterre-premier-league
2016/2017,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/6335/angleterre-premier-league
2015/2016,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/5826/angleterre-premier-league
2014/2015,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/4311/angleterre-premier-league
2013/2014,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/3853/angleterre-premier-league
2012/2013,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/3389/angleterre-premier-league
2011/2012,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/2935/angleterre-premier-league
2010/2011,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/2458/angleterre-premier-league
2009/2010,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/1849/angleterre-premier-league
2008/2009,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/1539/angleterre-premier-league
2007/2008,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/1256/angleterre-premier-league
2006/2007,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/667/angleterre-premier-league
2005/2006,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/836/angleterre-premier-league
2004/2005,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/594/angleterre-premier-league
2003/2004,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/429/angleterre-premier-league
2002/2003,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/299/angleterre-premier-league
2001/2002,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/191/angleterre-premier-league
2000/2001,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/85/angleterre-premier-league
1999/2000,angleterre,premier league,https://fr.whoscored.com/Regions/252/Tournaments/2/Seasons/2/angleterre-premier-league
2025/2026,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/10803/espagne-laliga
2024/2025,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/10317/espagne-laliga
2023/2024,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/9682/espagne-laliga
2022/2023,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/9149/espagne-laliga
2021/2022,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/8681/espagne-laliga
2020/2021,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/8321/espagne-laliga
2019/2020,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/7889/espagne-laliga
2018/2019,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/7466/espagne-laliga
2017/2018,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/6960/espagne-laliga
2016/2017,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/6436/espagne-laliga
2015/2016,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/5933/espagne-laliga
2014/2015,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/5435/espagne-laliga
2013/2014,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/3922/espagne-laliga
2012/2013,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/3470/espagne-laliga
2011/2012,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/3004/espagne-laliga
2010/2011,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/2596/espagne-laliga
2009/2010,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/1929/espagne-laliga
2008/2009,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/1562/espagne-laliga
2007/2008,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/1297/espagne-laliga
2006/2007,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/693/espagne-laliga
2005/2006,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/861/espagne-laliga
2004/2005,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/610/espagne-laliga
2003/2004,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/442/espagne-laliga
2002/2003,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/308/espagne-laliga
2001/2002,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/201/espagne-laliga
2000/2001,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/94/espagne-laliga
1999/2000,espagne,laliga,https://fr.whoscored.com/Regions/206/Tournaments/4/Seasons/4/espagne-laliga
2025/2026,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/10720/allemagne-bundesliga
2024/2025,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/10365/allemagne-bundesliga
2023/2024,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/9649/allemagne-bundesliga
2022/2023,allemagne,bundesliga,https://fr.whoscored.com/Regions/81/Tournaments/3/Seasons/9120/allemagne-bundesliga
