link,num_lien,league,annee,equipes
/matches/1820060/live/pologne-i-liga-2024-2025-stal-rzeszow-kotwica-kolobrzeg,1820060.0,pologne-i-liga,2024-2025,stal-rzeszow-kotwica-kolobrzeg
/matches/1820061/live/pologne-i-liga-2024-2025-stal-stalowa-wola-warta-poznan,1820061.0,pologne-i-liga,2024-2025,stal-stalowa-wola-warta-poznan
/matches/1820062/live/pologne-i-liga-2024-2025-gks-tychy-chrobry-glogow,1820062.0,pologne-i-liga,2024-2025,gks-tychy-chrobry-glogow
/matches/1820063/live/pologne-i-liga-2024-2025-wisla-plock-odra-opole,1820063.0,pologne-i-liga,2024-2025,wisla-plock-odra-opole
/matches/1820064/live/pologne-i-liga-2024-2025-termalica-nieciecza-pogon-siedlce,1820064.0,pologne-i-liga,2024-2025,termalica-nieciecza-pogon-siedlce
/matches/1820065/live/pologne-i-liga-2024-2025-ruch-chorzow-termalica-nieciecza,1820065.0,pologne-i-liga,2024-2025,ruch-chorzow-termalica-nieciecza
/matches/1820066/live/pologne-i-liga-2024-2025-znicz-pruszkow-warta-poznan,1820066.0,pologne-i-liga,2024-2025,znicz-pruszkow-warta-poznan
/matches/1820067/live/pologne-i-liga-2024-2025-odra-opole-stal-rzeszow,1820067.0,pologne-i-liga,2024-2025,odra-opole-stal-rzeszow
/matches/1820068/live/pologne-i-liga-2024-2025-chrobry-glogow-lks-lodz,1820068.0,pologne-i-liga,2024-2025,chrobry-glogow-lks-lodz
/matches/1820069/live/pologne-i-liga-2024-2025-warta-poznan-polonia-warszawa,1820069.0,pologne-i-liga,2024-2025,warta-poznan-polonia-warszawa
/matches/1820070/live/pologne-i-liga-2024-2025-polonia-warszawa-chrobry-glogow,1820070.0,pologne-i-liga,2024-2025,polonia-warszawa-chrobry-glogow
/matches/1820071/live/pologne-i-liga-2024-2025-lks-lodz-odra-opole,1820071.0,pologne-i-liga,2024-2025,lks-lodz-odra-opole
/matches/1820072/live/pologne-i-liga-2024-2025-wisla-plock-stal-stalowa-wola,1820072.0,pologne-i-liga,2024-2025,wisla-plock-stal-stalowa-wola
/matches/1820073/live/pologne-i-liga-2024-2025-termalica-nieciecza-stal-rzeszow,1820073.0,pologne-i-liga,2024-2025,termalica-nieciecza-stal-rzeszow
/matches/1820074/live/pologne-i-liga-2024-2025-znicz-pruszkow-miedz-legnica,1820074.0,pologne-i-liga,2024-2025,znicz-pruszkow-miedz-legnica
/matches/1820075/live/pologne-i-liga-2024-2025-odra-opole-gks-tychy,1820075.0,pologne-i-liga,2024-2025,odra-opole-gks-tychy
/matches/1820076/live/pologne-i-liga-2024-2025-chrobry-glogow-stal-stalowa-wola,1820076.0,pologne-i-liga,2024-2025,chrobry-glogow-stal-stalowa-wola
/matches/1820077/live/pologne-i-liga-2024-2025-warta-poznan-stal-rzeszow,1820077.0,pologne-i-liga,2024-2025,warta-poznan-stal-rzeszow
/matches/1820078/live/pologne-i-liga-2024-2025-kotwica-kolobrzeg-lks-lodz,1820078.0,pologne-i-liga,2024-2025,kotwica-kolobrzeg-lks-lodz
/matches/1820079/live/pologne-i-liga-2024-2025-miedz-legnica-polonia-warszawa,1820079.0,pologne-i-liga,2024-2025,miedz-legnica-polonia-warszawa
/matches/1820080/live/pologne-i-liga-2024-2025-gornik-leczna-znicz-pruszkow,1820080.0,pologne-i-liga,2024-2025,gornik-leczna-znicz-pruszkow
/matches/1820081/live/pologne-i-liga-2024-2025-arka-gdynia-wisla-krakow,1820081.0,pologne-i-liga,2024-2025,arka-gdynia-wisla-krakow
/matches/1820082/live/pologne-i-liga-2024-2025-ruch-chorzow-arka-gdynia,1820082.0,pologne-i-liga,2024-2025,ruch-chorzow-arka-gdynia
/matches/1820083/live/pologne-i-liga-2024-2025-wisla-krakow-gornik-leczna,1820083.0,pologne-i-liga,2024-2025,wisla-krakow-gornik-leczna
/matches/1820084/live/pologne-i-liga-2024-2025-pogon-siedlce-wisla-plock,1820084.0,pologne-i-liga,2024-2025,pogon-siedlce-wisla-plock
/matches/1820085/live/pologne-i-liga-2024-2025-polonia-warszawa-kotwica-kolobrzeg,1820085.0,pologne-i-liga,2024-2025,polonia-warszawa-kotwica-kolobrzeg
/matches/1820086/live/pologne-i-liga-2024-2025-lks-lodz-warta-poznan,1820086.0,pologne-i-liga,2024-2025,lks-lodz-warta-poznan
/matches/1820087/live/pologne-i-liga-2024-2025-znicz-pruszkow-gks-tychy,1820087.0,pologne-i-liga,2024-2025,znicz-pruszkow-gks-tychy
/matches/1820088/live/pologne-i-liga-2024-2025-pogon-siedlce-arka-gdynia,1820088.0,pologne-i-liga,2024-2025,pogon-siedlce-arka-gdynia
/matches/1820089/live/pologne-i-liga-2024-2025-polonia-warszawa-pogon-siedlce,1820089.0,pologne-i-liga,2024-2025,polonia-warszawa-pogon-siedlce
/matches/1820091/live/pologne-i-liga-2024-2025-wisla-krakow-chrobry-glogow,1820091.0,pologne-i-liga,2024-2025,wisla-krakow-chrobry-glogow
/matches/1820093/live/pologne-i-liga-2024-2025-miedz-legnica-odra-opole,1820093.0,pologne-i-liga,2024-2025,miedz-legnica-odra-opole
/matches/1820095/live/pologne-i-liga-2024-2025-kotwica-kolobrzeg-chrobry-glogow,1820095.0,pologne-i-liga,2024-2025,kotwica-kolobrzeg-chrobry-glogow
/matches/1820097/live/pologne-i-liga-2024-2025-warta-poznan-ruch-chorzow,1820097.0,pologne-i-liga,2024-2025,warta-poznan-ruch-chorzow
/matches/1820098/live/pologne-i-liga-2024-2025-znicz-pruszkow-odra-opole,1820098.0,pologne-i-liga,2024-2025,znicz-pruszkow-odra-opole
/matches/1820100/live/pologne-i-liga-2024-2025-warta-poznan-kotwica-kolobrzeg,1820100.0,pologne-i-liga,2024-2025,warta-poznan-kotwica-kolobrzeg
/matches/1820101/live/pologne-i-liga-2024-2025-lks-lodz-termalica-nieciecza,1820101.0,pologne-i-liga,2024-2025,lks-lodz-termalica-nieciecza
/matches/1820103/live/pologne-i-liga-2024-2025-chrobry-glogow-miedz-legnica,1820103.0,pologne-i-liga,2024-2025,chrobry-glogow-miedz-legnica
/matches/1820104/live/pologne-i-liga-2024-2025-stal-rzeszow-wisla-plock,1820104.0,pologne-i-liga,2024-2025,stal-rzeszow-wisla-plock
/matches/1820106/live/pologne-i-liga-2024-2025-odra-opole-gornik-leczna,1820106.0,pologne-i-liga,2024-2025,odra-opole-gornik-leczna
/matches/1820107/live/pologne-i-liga-2024-2025-stal-stalowa-wola-gks-tychy,1820107.0,pologne-i-liga,2024-2025,stal-stalowa-wola-gks-tychy
/matches/1820108/live/pologne-i-liga-2024-2025-lks-lodz-stal-rzeszow,1820108.0,pologne-i-liga,2024-2025,lks-lodz-stal-rzeszow
/matches/1820110/live/pologne-i-liga-2024-2025-ruch-chorzow-stal-stalowa-wola,1820110.0,pologne-i-liga,2024-2025,ruch-chorzow-stal-stalowa-wola
/matches/1820111/live/pologne-i-liga-2024-2025-polonia-warszawa-stal-stalowa-wola,1820111.0,pologne-i-liga,2024-2025,polonia-warszawa-stal-stalowa-wola
/matches/1820113/live/pologne-i-liga-2024-2025-gks-tychy-stal-rzeszow,1820113.0,pologne-i-liga,2024-2025,gks-tychy-stal-rzeszow
/matches/1820114/live/pologne-i-liga-2024-2025-wisla-krakow-wisla-plock,1820114.0,pologne-i-liga,2024-2025,wisla-krakow-wisla-plock
/matches/1820116/live/pologne-i-liga-2024-2025-wisla-plock-lks-lodz,1820116.0,pologne-i-liga,2024-2025,wisla-plock-lks-lodz
/matches/1820117/live/pologne-i-liga-2024-2025-arka-gdynia-termalica-nieciecza,1820117.0,pologne-i-liga,2024-2025,arka-gdynia-termalica-nieciecza
/matches/1820119/live/pologne-i-liga-2024-2025-termalica-nieciecza-polonia-warszawa,1820119.0,pologne-i-liga,2024-2025,termalica-nieciecza-polonia-warszawa
/matches/1820120/live/pologne-i-liga-2024-2025-gornik-leczna-pogon-siedlce,1820120.0,pologne-i-liga,2024-2025,gornik-leczna-pogon-siedlce
/matches/1820137/live/bulgarie-a-pfg-2024-2025-cherno-more-varna-cska-1948,1820137.0,bulgarie-a-pfg,2024-2025,cherno-more-varna-cska-1948
/matches/1820138/live/bulgarie-a-pfg-2024-2025-septemvri-sofia-beroe,1820138.0,bulgarie-a-pfg,2024-2025,septemvri-sofia-beroe
/matches/1820139/live/bulgarie-a-pfg-2024-2025-pfc-lokomotiv-sofia-1929-levski-sofia,1820139.0,bulgarie-a-pfg,2024-2025,pfc-lokomotiv-sofia-1929-levski-sofia
/matches/1820140/live/bulgarie-a-pfg-2024-2025-botev-vratsa-botev-plovdiv,1820140.0,bulgarie-a-pfg,2024-2025,botev-vratsa-botev-plovdiv
/matches/1820141/live/bulgarie-a-pfg-2024-2025-lokomotiv-plovdiv-arda-kardzhali,1820141.0,bulgarie-a-pfg,2024-2025,lokomotiv-plovdiv-arda-kardzhali
/matches/1820142/live/bulgarie-a-pfg-2024-2025-krumovgrad-slavia-sofia,1820142.0,bulgarie-a-pfg,2024-2025,krumovgrad-slavia-sofia
/matches/1820143/live/bulgarie-a-pfg-2024-2025-ludogorets-razgrad-cska-sofia,1820143.0,bulgarie-a-pfg,2024-2025,ludogorets-razgrad-cska-sofia
/matches/1820144/live/bulgarie-a-pfg-2024-2025-hebar-spartak-varna,1820144.0,bulgarie-a-pfg,2024-2025,hebar-spartak-varna
/matches/1820145/live/bulgarie-a-pfg-2024-2025-cska-1948-spartak-varna,1820145.0,bulgarie-a-pfg,2024-2025,cska-1948-spartak-varna
/matches/1820146/live/bulgarie-a-pfg-2024-2025-cska-sofia-hebar,1820146.0,bulgarie-a-pfg,2024-2025,cska-sofia-hebar
/matches/1820147/live/bulgarie-a-pfg-2024-2025-septemvri-sofia-cska-1948,1820147.0,bulgarie-a-pfg,2024-2025,septemvri-sofia-cska-1948
/matches/1820148/live/bulgarie-a-pfg-2024-2025-slavia-sofia-ludogorets-razgrad,1820148.0,bulgarie-a-pfg,2024-2025,slavia-sofia-ludogorets-razgrad
/matches/1820149/live/bulgarie-a-pfg-2024-2025-pfc-lokomotiv-sofia-1929-cherno-more-varna,1820149.0,bulgarie-a-pfg,2024-2025,pfc-lokomotiv-sofia-1929-cherno-more-varna
