numéro,link
1820248,/matches/1820248/live/bulgarie-a-pfg-2024-2025-cska-1948-cherno-more-varna
1820249,/matches/1820249/live/bulgarie-a-pfg-2024-2025-ludogorets-razgrad-cska-1948
1820250,/matches/1820250/live/bulgarie-a-pfg-2024-2025-beroe-septemvri-sofia
1820251,/matches/1820251/live/bulgarie-a-pfg-2024-2025-hebar-krumovgrad
1820252,/matches/1820252/live/bulgarie-a-pfg-2024-2025-botev-plovdiv-hebar
1820253,/matches/1820253/live/bulgarie-a-pfg-2024-2025-levski-sofia-pfc-lokomotiv-sofia-1929
1820254,/matches/1820254/live/bulgarie-a-pfg-2024-2025-arda-kardzhali-spartak-varna
1820255,/matches/1820255/live/bulgarie-a-pfg-2024-2025-spartak-varna-lokomotiv-plovdiv
1820256,/matches/1820256/live/bulgarie-a-pfg-2024-2025-slavia-sofia-cska-sofia
1820257,/matches/1820257/live/bulgarie-a-pfg-2024-2025-botev-plovdiv-botev-vratsa
1820260,/matches/1820260/live/bulgarie-a-pfg-2024-2025-slavia-sofia-pfc-lokomotiv-sofia-1929
1820261,/matches/1820261/live/bulgarie-a-pfg-2024-2025-slavia-sofia-krumovgrad
1820262,/matches/1820262/live/bulgarie-a-pfg-2024-2025-arda-kardzhali-septemvri-sofia
1820263,/matches/1820263/live/bulgarie-a-pfg-2024-2025-cska-sofia-ludogorets-razgrad
1820264,/matches/1820264/live/bulgarie-a-pfg-2024-2025-botev-plovdiv-cherno-more-varna
1820265,/matches/1820265/live/bulgarie-a-pfg-2024-2025-spartak-varna-hebar
1820266,/matches/1820266/live/bulgarie-a-pfg-2024-2025-levski-sofia-beroe
1820267,/matches/1820267/live/bulgarie-a-pfg-2024-2025-spartak-varna-ludogorets-razgrad
1820268,/matches/1820268/live/bulgarie-a-pfg-2024-2025-hebar-cska-1948
1820269,/matches/1820269/live/bulgarie-a-pfg-2024-2025-ludogorets-razgrad-hebar
1820270,/matches/1820270/live/bulgarie-a-pfg-2024-2025-krumovgrad-spartak-varna
1820271,/matches/1820271/live/bulgarie-a-pfg-2024-2025-lokomotiv-plovdiv-cska-sofia
1820272,/matches/1820272/live/bulgarie-a-pfg-2024-2025-botev-vratsa-slavia-sofia
1820281,/matches/1820281/live/bulgarie-a-pfg-2024-2025-septemvri-sofia-botev-plovdiv
1820282,/matches/1820282/live/bulgarie-a-pfg-2024-2025-cska-1948-beroe
1820283,/matches/1820283/live/bulgarie-a-pfg-2024-2025-pfc-lokomotiv-sofia-1929-arda-kardzhali
1820284,/matches/1820284/live/bulgarie-a-pfg-2024-2025-cherno-more-varna-levski-sofia
1820301,/matches/1820301/live/bulgarie-a-pfg-2024-2025-krumovgrad-lokomotiv-plovdiv
1820302,/matches/1820302/live/bulgarie-a-pfg-2024-2025-ludogorets-razgrad-botev-vratsa
1820303,/matches/1820303/live/bulgarie-a-pfg-2024-2025-hebar-pfc-lokomotiv-sofia-1929
1820304,/matches/1820304/live/bulgarie-a-pfg-2024-2025-spartak-varna-septemvri-sofia
1820305,/matches/1820305/live/bulgarie-a-pfg-2024-2025-slavia-sofia-beroe
1820306,/matches/1820306/live/bulgarie-a-pfg-2024-2025-cska-sofia-cherno-more-varna
1820307,/matches/1820307/live/bulgarie-a-pfg-2024-2025-arda-kardzhali-levski-sofia
1820308,/matches/1820308/live/bulgarie-a-pfg-2024-2025-botev-plovdiv-cska-1948
1820317,/matches/1820317/live/bulgarie-a-pfg-2024-2025-levski-sofia-slavia-sofia
1820319,/matches/1820319/live/bulgarie-a-pfg-2024-2025-beroe-cska-sofia
1820320,/matches/1820320/live/bulgarie-a-pfg-2024-2025-botev-plovdiv-arda-kardzhali
1820328,/matches/1820328/live/bulgarie-a-pfg-2024-2025-cherno-more-varna-spartak-varna
1820329,/matches/1820329/live/bulgarie-a-pfg-2024-2025-spartak-varna-cska-1948
1820330,/matches/1820330/live/bulgarie-a-pfg-2024-2025-hebar-cska-sofia
1820331,/matches/1820331/live/bulgarie-a-pfg-2024-2025-ludogorets-razgrad-slavia-sofia
1820332,/matches/1820332/live/bulgarie-a-pfg-2024-2025-lokomotiv-plovdiv-botev-plovdiv
1820333,/matches/1820333/live/bulgarie-a-pfg-2024-2025-botev-vratsa-levski-sofia
1820334,/matches/1820334/live/bulgarie-a-pfg-2024-2025-pfc-lokomotiv-sofia-1929-beroe
1820335,/matches/1820335/live/bulgarie-a-pfg-2024-2025-septemvri-sofia-cherno-more-varna
1820336,/matches/1820336/live/bulgarie-a-pfg-2024-2025-cska-sofia-krumovgrad
1820337,/matches/1820337/live/bulgarie-a-pfg-2024-2025-cska-1948-septemvri-sofia
1820338,/matches/1820338/live/bulgarie-a-pfg-2024-2025-cherno-more-varna-pfc-lokomotiv-sofia-1929
1820339,/matches/1820339/live/bulgarie-a-pfg-2024-2025-beroe-botev-vratsa
1820340,/matches/1820340/live/bulgarie-a-pfg-2024-2025-levski-sofia-lokomotiv-plovdiv
1820341,/matches/1820341/live/bulgarie-a-pfg-2024-2025-botev-plovdiv-krumovgrad
1820342,/matches/1820342/live/bulgarie-a-pfg-2024-2025-arda-kardzhali-ludogorets-razgrad
1820343,/matches/1820343/live/bulgarie-a-pfg-2024-2025-slavia-sofia-hebar
1820344,/matches/1820344/live/bulgarie-a-pfg-2024-2025-krumovgrad-arda-kardzhali
1820345,/matches/1820345/live/bulgarie-a-pfg-2024-2025-cska-sofia-spartak-varna
1820346,/matches/1820346/live/bulgarie-a-pfg-2024-2025-cska-sofia-cska-1948
1820347,/matches/1820347/live/bulgarie-a-pfg-2024-2025-spartak-varna-slavia-sofia
1820348,/matches/1820348/live/bulgarie-a-pfg-2024-2025-hebar-arda-kardzhali
1820349,/matches/1820349/live/bulgarie-a-pfg-2024-2025-ludogorets-razgrad-botev-plovdiv
1820350,/matches/1820350/live/bulgarie-a-pfg-2024-2025-krumovgrad-levski-sofia
1820351,/matches/1820351/live/bulgarie-a-pfg-2024-2025-lokomotiv-plovdiv-beroe
1820352,/matches/1820352/live/bulgarie-a-pfg-2024-2025-botev-vratsa-cherno-more-varna
1820353,/matches/1820353/live/bulgarie-a-pfg-2024-2025-lokomotiv-plovdiv-botev-vratsa
1820354,/matches/1820354/live/bulgarie-a-pfg-2024-2025-krumovgrad-pfc-lokomotiv-sofia-1929
1820355,/matches/1820355/live/bulgarie-a-pfg-2024-2025-hebar-cherno-more-varna
1820356,/matches/1820356/live/bulgarie-a-pfg-2024-2025-ludogorets-razgrad-septemvri-sofia
1820357,/matches/1820357/live/bulgarie-a-pfg-2024-2025-cska-sofia-levski-sofia
1820358,/matches/1820358/live/bulgarie-a-pfg-2024-2025-spartak-varna-beroe
1820359,/matches/1820359/live/bulgarie-a-pfg-2024-2025-arda-kardzhali-cska-1948
1820360,/matches/1820360/live/bulgarie-a-pfg-2024-2025-slavia-sofia-botev-plovdiv
1820361,/matches/1820361/live/bulgarie-a-pfg-2024-2025-arda-kardzhali-slavia-sofia
1820362,/matches/1820362/live/bulgarie-a-pfg-2024-2025-levski-sofia-spartak-varna
1820363,/matches/1820363/live/bulgarie-a-pfg-2024-2025-botev-plovdiv-cska-sofia
1820364,/matches/1820364/live/bulgarie-a-pfg-2024-2025-beroe-hebar
1820365,/matches/1820365/live/bulgarie-a-pfg-2024-2025-cherno-more-varna-ludogorets-razgrad
1820366,/matches/1820366/live/bulgarie-a-pfg-2024-2025-cska-1948-botev-vratsa
1820367,/matches/1820367/live/bulgarie-a-pfg-2024-2025-septemvri-sofia-krumovgrad
