numéro,pays,ligue,année,clubs,liens
1823572,Allemagne,Oberliga,2024-2025,Fc Sonthofen Fc Pipinsried,/matches/1823572/live/allemagne-oberliga-2024-2025-fc-sonthofen-fc-pipinsried
1823573,Allemagne,Oberliga,2024-2025,Sv Schalding Heining Sv Kirchanschoering,/matches/1823573/live/allemagne-oberliga-2024-2025-sv-schalding-heining-sv-kirchanschoering
1823574,Allemagne,Oberliga,2024-2025,Sv Kirchanschoering Tsv 1861 Noerdlingen,/matches/1823574/live/allemagne-oberliga-2024-2025-sv-kirchanschoering-tsv-1861-noerdlingen
1823575,Allemagne,Oberliga,2024-2025,Tsv Gruenwald Tsv 1861 Noerdlingen,/matches/1823575/live/allemagne-oberliga-2024-2025-tsv-gruenwald-tsv-1861-noerdlingen
1823576,Allemagne,Oberliga,2024-2025,Tsv Landsberg Tuerkspor Augsburg,/matches/1823576/live/allemagne-oberliga-2024-2025-tsv-landsberg-tuerkspor-augsburg
1823577,Allemagne Oberliga,2024,2025-1860,Muenchen Ii Fc Memmingen,/matches/1823577/live/allemagne-oberliga-2024-2025-1860-muenchen-ii-fc-memmingen
1823578,Allemagne,Oberliga,2024-2025,Sv Heimstetten Fc Deisenhofen,/matches/1823578/live/allemagne-oberliga-2024-2025-sv-heimstetten-fc-deisenhofen
1823579,Allemagne,Oberliga,2024-2025,Sv Kirchanschoering Fc Sonthofen,/matches/1823579/live/allemagne-oberliga-2024-2025-sv-kirchanschoering-fc-sonthofen
1823580,Allemagne,Oberliga,2024-2025,Fc Memmingen Sv Erlbach,/matches/1823580/live/allemagne-oberliga-2024-2025-fc-memmingen-sv-erlbach
1823581,Allemagne,Oberliga,2024-2025,Fc Deisenhofen Sv Kirchanschoering,/matches/1823581/live/allemagne-oberliga-2024-2025-fc-deisenhofen-sv-kirchanschoering
1823582,Allemagne,Oberliga,2024-2025,Sv Heimstetten Fc Memmingen,/matches/1823582/live/allemagne-oberliga-2024-2025-sv-heimstetten-fc-memmingen
1823583,Allemagne,Oberliga,2024-2025,Fc Ismaning Tsv Kottern,/matches/1823583/live/allemagne-oberliga-2024-2025-fc-ismaning-tsv-kottern
1823584,Allemagne,Oberliga,2024-2025,Tsv 1861 Noerdlingen Fc Pipinsried,/matches/1823584/live/allemagne-oberliga-2024-2025-tsv-1861-noerdlingen-fc-pipinsried
1823585,Allemagne,Oberliga,2024-2025,Fc Sonthofen Unterhaching Ii,/matches/1823585/live/allemagne-oberliga-2024-2025-fc-sonthofen-unterhaching-ii
1823586,Allemagne Oberliga,2024,2025-1860,Muenchen Ii Tsv Landsberg,/matches/1823586/live/allemagne-oberliga-2024-2025-1860-muenchen-ii-tsv-landsberg
1823587,Allemagne,Oberliga,2024-2025,Tsv 1861 Noerdlingen Unterhaching Ii,/matches/1823587/live/allemagne-oberliga-2024-2025-tsv-1861-noerdlingen-unterhaching-ii
1823588,Allemagne,Oberliga,2024-2025,Fc Memmingen Tsv Gruenwald,/matches/1823588/live/allemagne-oberliga-2024-2025-fc-memmingen-tsv-gruenwald
1823589,Allemagne,Oberliga,2024-2025,Sv Erlbach Fc Ismaning,/matches/1823589/live/allemagne-oberliga-2024-2025-sv-erlbach-fc-ismaning
1823590,Allemagne,Oberliga,2024-2025,Sv Heimstetten Sv Erlbach,/matches/1823590/live/allemagne-oberliga-2024-2025-sv-heimstetten-sv-erlbach
1823591,Allemagne,Oberliga,2024-2025,Sv Schalding Heining Fc Sonthofen,/matches/1823591/live/allemagne-oberliga-2024-2025-sv-schalding-heining-fc-sonthofen
1823592,Allemagne,Oberliga,2024-2025,Tsv Kottern Fc Memmingen,/matches/1823592/live/allemagne-oberliga-2024-2025-tsv-kottern-fc-memmingen
1823593,Allemagne,Oberliga,2024-2025,Tsv Kottern Tsv Landsberg,/matches/1823593/live/allemagne-oberliga-2024-2025-tsv-kottern-tsv-landsberg
1823594,Allemagne,Oberliga,2024-2025,Tsv Gruenwald Fc Sonthofen,/matches/1823594/live/allemagne-oberliga-2024-2025-tsv-gruenwald-fc-sonthofen
1823595,Allemagne,Oberliga,2024-2025,Tsv Landsberg Fc Pipinsried,/matches/1823595/live/allemagne-oberliga-2024-2025-tsv-landsberg-fc-pipinsried
