numéro,pays,ligue,année,clubs,liens
1822518,Pays Bas,Eredivisie,2024-2025,Nac Breda Ajax,/matches/1822518/live/pays-bas-eredivisie-2024-2025-nac-breda-ajax
1822519,Pays Bas,Eredivisie,2024-2025,Nac Breda Fc Utrecht,/matches/1822519/live/pays-bas-eredivisie-2024-2025-nac-breda-fc-utrecht
1822520,Pays Bas,Eredivisie,2024-2025,Willem Ii Sparta Rotterdam,/matches/1822520/live/pays-bas-eredivisie-2024-2025-willem-ii-sparta-rotterdam
1822521,Pays Bas,Eredivisie,2024-2025,Rkc Waalwijk Az Alkmaar,/matches/1822521/live/pays-bas-eredivisie-2024-2025-rkc-waalwijk-az-alkmaar
1822522,Pays Bas,Eredivisie,2024-2025,Fortuna Sittard Nec Nijmegen,/matches/1822522/live/pays-bas-eredivisie-2024-2025-fortuna-sittard-nec-nijmegen
1822523,Pays Bas,Eredivisie,2024-2025,Fc Utrecht Twente,/matches/1822523/live/pays-bas-eredivisie-2024-2025-fc-utrecht-twente
1822524,Pays Bas,Eredivisie,2024-2025,Sc Heerenveen Nac Breda,/matches/1822524/live/pays-bas-eredivisie-2024-2025-sc-heerenveen-nac-breda
1822525,Pays Bas,Eredivisie,2024-2025,Psv Eindhoven Go Ahead Eagles,/matches/1822525/live/pays-bas-eredivisie-2024-2025-psv-eindhoven-go-ahead-eagles
1822526,Pays Bas,Eredivisie,2024-2025,Almere City Fc Fc Groningen,/matches/1822526/live/pays-bas-eredivisie-2024-2025-almere-city-fc-fc-groningen
1822527,Pays Bas,Eredivisie,2024-2025,Psv Eindhoven Nec Nijmegen,/matches/1822527/live/pays-bas-eredivisie-2024-2025-psv-eindhoven-nec-nijmegen
1822528,Pays Bas,Eredivisie,2024-2025,Ajax Fc Utrecht,/matches/1822528/live/pays-bas-eredivisie-2024-2025-ajax-fc-utrecht
1822529,Pays Bas,Eredivisie,2024-2025,Feyenoord Ajax,/matches/1822529/live/pays-bas-eredivisie-2024-2025-feyenoord-ajax
1822530,Pays Bas,Eredivisie,2024-2025,Fc Utrecht Willem Ii,/matches/1822530/live/pays-bas-eredivisie-2024-2025-fc-utrecht-willem-ii
1822531,Pays Bas,Eredivisie,2024-2025,Pec Zwolle Heracles,/matches/1822531/live/pays-bas-eredivisie-2024-2025-pec-zwolle-heracles
1822532,Pays Bas,Eredivisie,2024-2025,Nec Nijmegen Heracles,/matches/1822532/live/pays-bas-eredivisie-2024-2025-nec-nijmegen-heracles
1822533,Pays Bas,Eredivisie,2024-2025,Twente Pec Zwolle,/matches/1822533/live/pays-bas-eredivisie-2024-2025-twente-pec-zwolle
1822534,Pays Bas,Eredivisie,2024-2025,Fortuna Sittard Psv Eindhoven,/matches/1822534/live/pays-bas-eredivisie-2024-2025-fortuna-sittard-psv-eindhoven
1822535,Pays Bas,Eredivisie,2024-2025,Fc Groningen Feyenoord,/matches/1822535/live/pays-bas-eredivisie-2024-2025-fc-groningen-feyenoord
1822536,Pays Bas,Eredivisie,2024-2025,Nac Breda Fortuna Sittard,/matches/1822536/live/pays-bas-eredivisie-2024-2025-nac-breda-fortuna-sittard
1822537,Pays Bas,Eredivisie,2024-2025,Nec Nijmegen Feyenoord,/matches/1822537/live/pays-bas-eredivisie-2024-2025-nec-nijmegen-feyenoord
1822538,Pays Bas,Eredivisie,2024-2025,Az Alkmaar Sc Heerenveen,/matches/1822538/live/pays-bas-eredivisie-2024-2025-az-alkmaar-sc-heerenveen
1822539,Pays Bas,Eredivisie,2024-2025,Willem Ii Psv Eindhoven,/matches/1822539/live/pays-bas-eredivisie-2024-2025-willem-ii-psv-eindhoven
1822540,Pays Bas,Eredivisie,2024-2025,Pec Zwolle Almere City Fc,/matches/1822540/live/pays-bas-eredivisie-2024-2025-pec-zwolle-almere-city-fc
1822541,Pays Bas,Eredivisie,2024-2025,Sparta Rotterdam Go Ahead Eagles,/matches/1822541/live/pays-bas-eredivisie-2024-2025-sparta-rotterdam-go-ahead-eagles
1822542,Pays Bas,Eredivisie,2024-2025,Fc Groningen Go Ahead Eagles,/matches/1822542/live/pays-bas-eredivisie-2024-2025-fc-groningen-go-ahead-eagles
1822543,Pays Bas,Eredivisie,2024-2025,Willem Ii Rkc Waalwijk,/matches/1822543/live/pays-bas-eredivisie-2024-2025-willem-ii-rkc-waalwijk
1822544,Pays Bas,Eredivisie,2024-2025,Rkc Waalwijk Ajax,/matches/1822544/live/pays-bas-eredivisie-2024-2025-rkc-waalwijk-ajax
1822545,Pays Bas,Eredivisie,2024-2025,Heracles Almere City Fc,/matches/1822545/live/pays-bas-eredivisie-2024-2025-heracles-almere-city-fc
1822546,Pays Bas,Eredivisie,2024-2025,Az Alkmaar Fc Utrecht,/matches/1822546/live/pays-bas-eredivisie-2024-2025-az-alkmaar-fc-utrecht
1822547,Pays Bas,Eredivisie,2024-2025,Pec Zwolle Az Alkmaar,/matches/1822547/live/pays-bas-eredivisie-2024-2025-pec-zwolle-az-alkmaar
1822548,Pays Bas,Eredivisie,2024-2025,Nac Breda Nec Nijmegen,/matches/1822548/live/pays-bas-eredivisie-2024-2025-nac-breda-nec-nijmegen
1822549,Pays Bas,Eredivisie,2024-2025,Almere City Fc Willem Ii,/matches/1822549/live/pays-bas-eredivisie-2024-2025-almere-city-fc-willem-ii
1822550,Pays Bas,Eredivisie,2024-2025,Rkc Waalwijk Sparta Rotterdam,/matches/1822550/live/pays-bas-eredivisie-2024-2025-rkc-waalwijk-sparta-rotterdam
1822551,Pays Bas,Eredivisie,2024-2025,Sc Heerenveen Pec Zwolle,/matches/1822551/live/pays-bas-eredivisie-2024-2025-sc-heerenveen-pec-zwolle
1822552,Pays Bas,Eredivisie,2024-2025,Go Ahead Eagles Ajax,/matches/1822552/live/pays-bas-eredivisie-2024-2025-go-ahead-eagles-ajax
1822553,Pays Bas,Eredivisie,2024-2025,Psv Eindhoven Sparta Rotterdam,/matches/1822553/live/pays-bas-eredivisie-2024-2025-psv-eindhoven-sparta-rotterdam
1822554,Pays Bas,Eredivisie,2024-2025,Sc Heerenveen Fc Groningen,/matches/1822554/live/pays-bas-eredivisie-2024-2025-sc-heerenveen-fc-groningen
1822555,Pays Bas,Eredivisie,2024-2025,Fc Utrecht Rkc Waalwijk,/matches/1822555/live/pays-bas-eredivisie-2024-2025-fc-utrecht-rkc-waalwijk
1822556,Pays Bas,Eredivisie,2024-2025,Almere City Fc Twente,/matches/1822556/live/pays-bas-eredivisie-2024-2025-almere-city-fc-twente
1822557,Pays Bas,Eredivisie,2024-2025,Feyenoord Twente,/matches/1822557/live/pays-bas-eredivisie-2024-2025-feyenoord-twente
1822558,Pays Bas,Eredivisie,2024-2025,Feyenoord Nac Breda,/matches/1822558/live/pays-bas-eredivisie-2024-2025-feyenoord-nac-breda
1822559,Pays Bas,Eredivisie,2024-2025,Ajax Fc Groningen,/matches/1822559/live/pays-bas-eredivisie-2024-2025-ajax-fc-groningen
1822560,Pays Bas,Eredivisie,2024-2025,Heracles Sc Heerenveen,/matches/1822560/live/pays-bas-eredivisie-2024-2025-heracles-sc-heerenveen
1822561,Pays Bas,Eredivisie,2024-2025,Go Ahead Eagles Heracles,/matches/1822561/live/pays-bas-eredivisie-2024-2025-go-ahead-eagles-heracles
1822562,Pays Bas,Eredivisie,2024-2025,Twente Nac Breda,/matches/1822562/live/pays-bas-eredivisie-2024-2025-twente-nac-breda
1822563,Pays Bas,Eredivisie,2024-2025,Fortuna Sittard Az Alkmaar,/matches/1822563/live/pays-bas-eredivisie-2024-2025-fortuna-sittard-az-alkmaar
1822564,Pays Bas,Eredivisie,2024-2025,Sparta Rotterdam Almere City Fc,/matches/1822564/live/pays-bas-eredivisie-2024-2025-sparta-rotterdam-almere-city-fc
1822565,Pays Bas,Eredivisie,2024-2025,Sparta Rotterdam Fortuna Sittard,/matches/1822565/live/pays-bas-eredivisie-2024-2025-sparta-rotterdam-fortuna-sittard
1822566,Pays Bas,Eredivisie,2024-2025,Az Alkmaar Psv Eindhoven,/matches/1822566/live/pays-bas-eredivisie-2024-2025-az-alkmaar-psv-eindhoven
1822567,Pays Bas,Eredivisie,2024-2025,Nec Nijmegen Sc Heerenveen,/matches/1822567/live/pays-bas-eredivisie-2024-2025-nec-nijmegen-sc-heerenveen
1822568,Pays Bas,Eredivisie,2024-2025,Rkc Waalwijk Twente,/matches/1822568/live/pays-bas-eredivisie-2024-2025-rkc-waalwijk-twente
1822569,Pays Bas,Eredivisie,2024-2025,Go Ahead Eagles Feyenoord,/matches/1822569/live/pays-bas-eredivisie-2024-2025-go-ahead-eagles-feyenoord
1822570,Pays Bas,Eredivisie,2024-2025,Willem Ii Fortuna Sittard,/matches/1822570/live/pays-bas-eredivisie-2024-2025-willem-ii-fortuna-sittard
1822571,Pays Bas,Eredivisie,2024-2025,Fc Groningen Fc Utrecht,/matches/1822571/live/pays-bas-eredivisie-2024-2025-fc-groningen-fc-utrecht
1822572,Pays Bas,Eredivisie,2024-2025,Heracles Ajax,/matches/1822572/live/pays-bas-eredivisie-2024-2025-heracles-ajax
1822573,Pays Bas,Eredivisie,2024-2025,Pec Zwolle Nac Breda,/matches/1822573/live/pays-bas-eredivisie-2024-2025-pec-zwolle-nac-breda
1822574,Pays Bas,Eredivisie,2024-2025,Almere City Fc Nec Nijmegen,/matches/1822574/live/pays-bas-eredivisie-2024-2025-almere-city-fc-nec-nijmegen
1822575,Pays Bas,Eredivisie,2024-2025,Fortuna Sittard Fc Groningen,/matches/1822575/live/pays-bas-eredivisie-2024-2025-fortuna-sittard-fc-groningen
1822576,Pays Bas,Eredivisie,2024-2025,Nac Breda Rkc Waalwijk,/matches/1822576/live/pays-bas-eredivisie-2024-2025-nac-breda-rkc-waalwijk
1822577,Pays Bas,Eredivisie,2024-2025,Psv Eindhoven Pec Zwolle,/matches/1822577/live/pays-bas-eredivisie-2024-2025-psv-eindhoven-pec-zwolle
1822578,Pays Bas,Eredivisie,2024-2025,Sc Heerenveen Sparta Rotterdam,/matches/1822578/live/pays-bas-eredivisie-2024-2025-sc-heerenveen-sparta-rotterdam
1822579,Pays Bas,Eredivisie,2024-2025,Fc Utrecht Feyenoord,/matches/1822579/live/pays-bas-eredivisie-2024-2025-fc-utrecht-feyenoord
1822580,Pays Bas,Eredivisie,2024-2025,Az Alkmaar Go Ahead Eagles,/matches/1822580/live/pays-bas-eredivisie-2024-2025-az-alkmaar-go-ahead-eagles
1822581,Pays Bas,Eredivisie,2024-2025,Twente Heracles,/matches/1822581/live/pays-bas-eredivisie-2024-2025-twente-heracles
1822582,Pays Bas,Eredivisie,2024-2025,Ajax Willem Ii,/matches/1822582/live/pays-bas-eredivisie-2024-2025-ajax-willem-ii
1822583,Pays Bas,Eredivisie,2024-2025,Ajax Feyenoord,/matches/1822583/live/pays-bas-eredivisie-2024-2025-ajax-feyenoord
1822584,Pays Bas,Eredivisie,2024-2025,Almere City Fc Rkc Waalwijk,/matches/1822584/live/pays-bas-eredivisie-2024-2025-almere-city-fc-rkc-waalwijk
1822585,Pays Bas,Eredivisie,2024-2025,Go Ahead Eagles Twente,/matches/1822585/live/pays-bas-eredivisie-2024-2025-go-ahead-eagles-twente
1822586,Pays Bas,Eredivisie,2024-2025,Nec Nijmegen Psv Eindhoven,/matches/1822586/live/pays-bas-eredivisie-2024-2025-nec-nijmegen-psv-eindhoven
1822587,Pays Bas,Eredivisie,2024-2025,Nac Breda Heracles,/matches/1822587/live/pays-bas-eredivisie-2024-2025-nac-breda-heracles
1822588,Pays Bas,Eredivisie,2024-2025,Pec Zwolle Fc Utrecht,/matches/1822588/live/pays-bas-eredivisie-2024-2025-pec-zwolle-fc-utrecht
1822589,Pays Bas,Eredivisie,2024-2025,Sc Heerenveen Fortuna Sittard,/matches/1822589/live/pays-bas-eredivisie-2024-2025-sc-heerenveen-fortuna-sittard
1822590,Pays Bas,Eredivisie,2024-2025,Sparta Rotterdam Fc Groningen,/matches/1822590/live/pays-bas-eredivisie-2024-2025-sparta-rotterdam-fc-groningen
1822591,Pays Bas,Eredivisie,2024-2025,Willem Ii Az Alkmaar,/matches/1822591/live/pays-bas-eredivisie-2024-2025-willem-ii-az-alkmaar
1822592,Pays Bas,Eredivisie,2024-2025,Az Alkmaar Pec Zwolle,/matches/1822592/live/pays-bas-eredivisie-2024-2025-az-alkmaar-pec-zwolle
1822593,Pays Bas,Eredivisie,2024-2025,Fc Groningen Nec Nijmegen,/matches/1822593/live/pays-bas-eredivisie-2024-2025-fc-groningen-nec-nijmegen
1822594,Pays Bas,Eredivisie,2024-2025,Fc Utrecht Almere City Fc,/matches/1822594/live/pays-bas-eredivisie-2024-2025-fc-utrecht-almere-city-fc
1822595,Pays Bas,Eredivisie,2024-2025,Feyenoord Sparta Rotterdam,/matches/1822595/live/pays-bas-eredivisie-2024-2025-feyenoord-sparta-rotterdam
1822596,Pays Bas,Eredivisie,2024-2025,Fortuna Sittard Ajax,/matches/1822596/live/pays-bas-eredivisie-2024-2025-fortuna-sittard-ajax
1822597,Pays Bas,Eredivisie,2024-2025,Heracles Go Ahead Eagles,/matches/1822597/live/pays-bas-eredivisie-2024-2025-heracles-go-ahead-eagles
1822598,Pays Bas,Eredivisie,2024-2025,Psv Eindhoven Willem Ii,/matches/1822598/live/pays-bas-eredivisie-2024-2025-psv-eindhoven-willem-ii
1822599,Pays Bas,Eredivisie,2024-2025,Rkc Waalwijk Nac Breda,/matches/1822599/live/pays-bas-eredivisie-2024-2025-rkc-waalwijk-nac-breda
1822600,Pays Bas,Eredivisie,2024-2025,Sc Heerenveen Twente,/matches/1822600/live/pays-bas-eredivisie-2024-2025-sc-heerenveen-twente
1822601,Pays Bas,Eredivisie,2024-2025,Ajax Heracles,/matches/1822601/live/pays-bas-eredivisie-2024-2025-ajax-heracles
1822602,Pays Bas,Eredivisie,2024-2025,Az Alkmaar Fortuna Sittard,/matches/1822602/live/pays-bas-eredivisie-2024-2025-az-alkmaar-fortuna-sittard
1822603,Pays Bas,Eredivisie,2024-2025,Twente Rkc Waalwijk,/matches/1822603/live/pays-bas-eredivisie-2024-2025-twente-rkc-waalwijk
1822604,Pays Bas,Eredivisie,2024-2025,Go Ahead Eagles Sparta Rotterdam,/matches/1822604/live/pays-bas-eredivisie-2024-2025-go-ahead-eagles-sparta-rotterdam
1822605,Pays Bas,Eredivisie,2024-2025,Nec Nijmegen Almere City Fc,/matches/1822605/live/pays-bas-eredivisie-2024-2025-nec-nijmegen-almere-city-fc
1822606,Pays Bas,Eredivisie,2024-2025,Nac Breda Feyenoord,/matches/1822606/live/pays-bas-eredivisie-2024-2025-nac-breda-feyenoord
1822607,Pays Bas,Eredivisie,2024-2025,Pec Zwolle Sc Heerenveen,/matches/1822607/live/pays-bas-eredivisie-2024-2025-pec-zwolle-sc-heerenveen
1822608,Pays Bas,Eredivisie,2024-2025,Psv Eindhoven Fc Utrecht,/matches/1822608/live/pays-bas-eredivisie-2024-2025-psv-eindhoven-fc-utrecht
1822609,Pays Bas,Eredivisie,2024-2025,Willem Ii Fc Groningen,/matches/1822609/live/pays-bas-eredivisie-2024-2025-willem-ii-fc-groningen
1822610,Pays Bas,Eredivisie,2024-2025,Almere City Fc Ajax,/matches/1822610/live/pays-bas-eredivisie-2024-2025-almere-city-fc-ajax
1822611,Pays Bas,Eredivisie,2024-2025,Fc Groningen Twente,/matches/1822611/live/pays-bas-eredivisie-2024-2025-fc-groningen-twente
1822612,Pays Bas,Eredivisie,2024-2025,Fc Utrecht Nac Breda,/matches/1822612/live/pays-bas-eredivisie-2024-2025-fc-utrecht-nac-breda
1822613,Pays Bas,Eredivisie,2024-2025,Feyenoord Nec Nijmegen,/matches/1822613/live/pays-bas-eredivisie-2024-2025-feyenoord-nec-nijmegen
1822614,Pays Bas,Eredivisie,2024-2025,Go Ahead Eagles Psv Eindhoven,/matches/1822614/live/pays-bas-eredivisie-2024-2025-go-ahead-eagles-psv-eindhoven
1822615,Pays Bas,Eredivisie,2024-2025,Heracles Pec Zwolle,/matches/1822615/live/pays-bas-eredivisie-2024-2025-heracles-pec-zwolle
1822616,Pays Bas,Eredivisie,2024-2025,Rkc Waalwijk Fortuna Sittard,/matches/1822616/live/pays-bas-eredivisie-2024-2025-rkc-waalwijk-fortuna-sittard
1822617,Pays Bas,Eredivisie,2024-2025,Sc Heerenveen Az Alkmaar,/matches/1822617/live/pays-bas-eredivisie-2024-2025-sc-heerenveen-az-alkmaar
1822618,Pays Bas,Eredivisie,2024-2025,Sparta Rotterdam Willem Ii,/matches/1822618/live/pays-bas-eredivisie-2024-2025-sparta-rotterdam-willem-ii
1822620,Pays Bas,Eredivisie,2024-2025,Twente Almere City Fc,/matches/1822620/live/pays-bas-eredivisie-2024-2025-twente-almere-city-fc
1822622,Pays Bas,Eredivisie,2024-2025,Fortuna Sittard Heracles,/matches/1822622/live/pays-bas-eredivisie-2024-2025-fortuna-sittard-heracles
1822623,Pays Bas,Eredivisie,2024-2025,Nec Nijmegen Go Ahead Eagles,/matches/1822623/live/pays-bas-eredivisie-2024-2025-nec-nijmegen-go-ahead-eagles
1822624,Pays Bas,Eredivisie,2024-2025,Nac Breda Sparta Rotterdam,/matches/1822624/live/pays-bas-eredivisie-2024-2025-nac-breda-sparta-rotterdam
1822625,Pays Bas,Eredivisie,2024-2025,Pec Zwolle Ajax,/matches/1822625/live/pays-bas-eredivisie-2024-2025-pec-zwolle-ajax
1822626,Pays Bas,Eredivisie,2024-2025,Psv Eindhoven Sc Heerenveen,/matches/1822626/live/pays-bas-eredivisie-2024-2025-psv-eindhoven-sc-heerenveen
1822627,Pays Bas,Eredivisie,2024-2025,Willem Ii Fc Utrecht,/matches/1822627/live/pays-bas-eredivisie-2024-2025-willem-ii-fc-utrecht
1822628,Pays Bas,Eredivisie,2024-2025,Ajax Az Alkmaar,/matches/1822628/live/pays-bas-eredivisie-2024-2025-ajax-az-alkmaar
1822629,Pays Bas,Eredivisie,2024-2025,Almere City Fc Nac Breda,/matches/1822629/live/pays-bas-eredivisie-2024-2025-almere-city-fc-nac-breda
1822630,Pays Bas,Eredivisie,2024-2025,Fc Groningen Fortuna Sittard,/matches/1822630/live/pays-bas-eredivisie-2024-2025-fc-groningen-fortuna-sittard
1822631,Pays Bas,Eredivisie,2024-2025,Twente Feyenoord,/matches/1822631/live/pays-bas-eredivisie-2024-2025-twente-feyenoord
1822632,Pays Bas,Eredivisie,2024-2025,Fc Utrecht Nec Nijmegen,/matches/1822632/live/pays-bas-eredivisie-2024-2025-fc-utrecht-nec-nijmegen
1822633,Pays Bas,Eredivisie,2024-2025,Go Ahead Eagles Willem Ii,/matches/1822633/live/pays-bas-eredivisie-2024-2025-go-ahead-eagles-willem-ii
1822634,Pays Bas,Eredivisie,2024-2025,Rkc Waalwijk Psv Eindhoven,/matches/1822634/live/pays-bas-eredivisie-2024-2025-rkc-waalwijk-psv-eindhoven
1822635,Pays Bas,Eredivisie,2024-2025,Sc Heerenveen Heracles,/matches/1822635/live/pays-bas-eredivisie-2024-2025-sc-heerenveen-heracles
1822636,Pays Bas,Eredivisie,2024-2025,Sparta Rotterdam Pec Zwolle,/matches/1822636/live/pays-bas-eredivisie-2024-2025-sparta-rotterdam-pec-zwolle
,,,,,
,,,,,
1822711,Pays Bas Eerste,Divisie,2024-2025,Helmond Sport Vvv Venlo,/matches/1822711/live/pays-bas-eerste-divisie-2024-2025-helmond-sport-vvv-venlo
1822712,Pays Bas Eerste,Divisie,2024-2025,Fc Dordrecht Cambuur,/matches/1822712/live/pays-bas-eerste-divisie-2024-2025-fc-dordrecht-cambuur
1822713,Pays Bas Eerste,Divisie,2024-2025,Ado Den Haag Excelsior,/matches/1822713/live/pays-bas-eerste-divisie-2024-2025-ado-den-haag-excelsior
1822714,Pays Bas Eerste,Divisie,2024-2025,Jong Psv Telstar,/matches/1822714/live/pays-bas-eerste-divisie-2024-2025-jong-psv-telstar
1822715,Pays Bas Eerste,Divisie,2024-2025,Jong Az Alkmaar Fc Dordrecht,/matches/1822715/live/pays-bas-eerste-divisie-2024-2025-jong-az-alkmaar-fc-dordrecht
1822716,Pays Bas Eerste,Divisie,2024-2025,Vvv Venlo Roda,/matches/1822716/live/pays-bas-eerste-divisie-2024-2025-vvv-venlo-roda
1822717,Pays Bas Eerste,Divisie,2024-2025,Fc Eindhoven Jong Ajax,/matches/1822717/live/pays-bas-eerste-divisie-2024-2025-fc-eindhoven-jong-ajax
1822718,Pays Bas Eerste,Divisie,2024-2025,Fc Volendam Fc Dordrecht,/matches/1822718/live/pays-bas-eerste-divisie-2024-2025-fc-volendam-fc-dordrecht
1822719,Pays Bas Eerste,Divisie,2024-2025,Fc Volendam Top Oss,/matches/1822719/live/pays-bas-eerste-divisie-2024-2025-fc-volendam-top-oss
1822720,Pays Bas Eerste,Divisie,2024-2025,Fc Emmen Vitesse,/matches/1822720/live/pays-bas-eerste-divisie-2024-2025-fc-emmen-vitesse
1822721,Pays Bas Eerste,Divisie,2024-2025,Excelsior Vvv Venlo,/matches/1822721/live/pays-bas-eerste-divisie-2024-2025-excelsior-vvv-venlo
1822722,Pays Bas Eerste,Divisie,2024-2025,Vvv Venlo Jong Fc Utrecht,/matches/1822722/live/pays-bas-eerste-divisie-2024-2025-vvv-venlo-jong-fc-utrecht
1822723,Pays Bas Eerste,Divisie,2024-2025,Top Oss Jong Psv,/matches/1822723/live/pays-bas-eerste-divisie-2024-2025-top-oss-jong-psv
1822724,Pays Bas Eerste,Divisie,2024-2025,Excelsior Telstar,/matches/1822724/live/pays-bas-eerste-divisie-2024-2025-excelsior-telstar
1822725,Pays Bas Eerste,Divisie,2024-2025,De Graafschap Helmond Sport,/matches/1822725/live/pays-bas-eerste-divisie-2024-2025-de-graafschap-helmond-sport
1822726,Pays Bas Eerste,Divisie,2024-2025,Telstar Mvv Maastricht,/matches/1822726/live/pays-bas-eerste-divisie-2024-2025-telstar-mvv-maastricht
1822727,Pays Bas Eerste,Divisie,2024-2025,De Graafschap Fc Eindhoven,/matches/1822727/live/pays-bas-eerste-divisie-2024-2025-de-graafschap-fc-eindhoven
1822728,Pays Bas Eerste,Divisie,2024-2025,Roda De Graafschap,/matches/1822728/live/pays-bas-eerste-divisie-2024-2025-roda-de-graafschap
1822729,Pays Bas Eerste,Divisie,2024-2025,Roda Excelsior,/matches/1822729/live/pays-bas-eerste-divisie-2024-2025-roda-excelsior
1822730,Pays Bas Eerste,Divisie,2024-2025,Jong Ajax Fc Dordrecht,/matches/1822730/live/pays-bas-eerste-divisie-2024-2025-jong-ajax-fc-dordrecht
1822731,Pays Bas Eerste,Divisie,2024-2025,Jong Psv Helmond Sport,/matches/1822731/live/pays-bas-eerste-divisie-2024-2025-jong-psv-helmond-sport
1822732,Pays Bas Eerste,Divisie,2024-2025,Telstar Fc Den Bosch,/matches/1822732/live/pays-bas-eerste-divisie-2024-2025-telstar-fc-den-bosch
1822733,Pays Bas Eerste,Divisie,2024-2025,Fc Den Bosch De Graafschap,/matches/1822733/live/pays-bas-eerste-divisie-2024-2025-fc-den-bosch-de-graafschap
1822734,Pays Bas Eerste,Divisie,2024-2025,Fc Dordrecht Jong Psv,/matches/1822734/live/pays-bas-eerste-divisie-2024-2025-fc-dordrecht-jong-psv
1822735,Pays Bas Eerste,Divisie,2024-2025,Fc Emmen Mvv Maastricht,/matches/1822735/live/pays-bas-eerste-divisie-2024-2025-fc-emmen-mvv-maastricht
1822736,Pays Bas Eerste,Divisie,2024-2025,Helmond Sport Jong Ajax,/matches/1822736/live/pays-bas-eerste-divisie-2024-2025-helmond-sport-jong-ajax
1822737,Pays Bas Eerste,Divisie,2024-2025,Jong Az Alkmaar Fc Eindhoven,/matches/1822737/live/pays-bas-eerste-divisie-2024-2025-jong-az-alkmaar-fc-eindhoven
1822738,Pays Bas Eerste,Divisie,2024-2025,Jong Fc Utrecht Telstar,/matches/1822738/live/pays-bas-eerste-divisie-2024-2025-jong-fc-utrecht-telstar
1822739,Pays Bas Eerste,Divisie,2024-2025,Vitesse Excelsior,/matches/1822739/live/pays-bas-eerste-divisie-2024-2025-vitesse-excelsior
1822740,Pays Bas Eerste,Divisie,2024-2025,Fc Eindhoven Fc Den Bosch,/matches/1822740/live/pays-bas-eerste-divisie-2024-2025-fc-eindhoven-fc-den-bosch
1822741,Pays Bas Eerste,Divisie,2024-2025,Roda Top Oss,/matches/1822741/live/pays-bas-eerste-divisie-2024-2025-roda-top-oss
1822742,Pays Bas Eerste,Divisie,2024-2025,Fc Emmen Fc Dordrecht,/matches/1822742/live/pays-bas-eerste-divisie-2024-2025-fc-emmen-fc-dordrecht
1822743,Pays Bas Eerste,Divisie,2024-2025,Jong Fc Utrecht Jong Psv,/matches/1822743/live/pays-bas-eerste-divisie-2024-2025-jong-fc-utrecht-jong-psv
1822744,Pays Bas Eerste,Divisie,2024-2025,Helmond Sport Jong Fc Utrecht,/matches/1822744/live/pays-bas-eerste-divisie-2024-2025-helmond-sport-jong-fc-utrecht
1822745,Pays Bas Eerste,Divisie,2024-2025,Fc Den Bosch Jong Az Alkmaar,/matches/1822745/live/pays-bas-eerste-divisie-2024-2025-fc-den-bosch-jong-az-alkmaar
1822746,Pays Bas Eerste,Divisie,2024-2025,Mvv Maastricht Cambuur,/matches/1822746/live/pays-bas-eerste-divisie-2024-2025-mvv-maastricht-cambuur
1822747,Pays Bas Eerste,Divisie,2024-2025,Excelsior De Graafschap,/matches/1822747/live/pays-bas-eerste-divisie-2024-2025-excelsior-de-graafschap
1822748,Pays Bas Eerste,Divisie,2024-2025,Top Oss Excelsior,/matches/1822748/live/pays-bas-eerste-divisie-2024-2025-top-oss-excelsior
1822749,Pays Bas Eerste,Divisie,2024-2025,Vitesse Telstar,/matches/1822749/live/pays-bas-eerste-divisie-2024-2025-vitesse-telstar
1822750,Pays Bas Eerste,Divisie,2024-2025,Ado Den Haag Vvv Venlo,/matches/1822750/live/pays-bas-eerste-divisie-2024-2025-ado-den-haag-vvv-venlo
1822751,Pays Bas Eerste,Divisie,2024-2025,Fc Den Bosch Mvv Maastricht,/matches/1822751/live/pays-bas-eerste-divisie-2024-2025-fc-den-bosch-mvv-maastricht
1822752,Pays Bas Eerste,Divisie,2024-2025,Vitesse Fc Eindhoven,/matches/1822752/live/pays-bas-eerste-divisie-2024-2025-vitesse-fc-eindhoven
1822753,Pays Bas Eerste,Divisie,2024-2025,Telstar Jong Az Alkmaar,/matches/1822753/live/pays-bas-eerste-divisie-2024-2025-telstar-jong-az-alkmaar
1822754,Pays Bas Eerste,Divisie,2024-2025,Mvv Maastricht Jong Psv,/matches/1822754/live/pays-bas-eerste-divisie-2024-2025-mvv-maastricht-jong-psv
1822755,Pays Bas Eerste,Divisie,2024-2025,Jong Fc Utrecht Fc Emmen,/matches/1822755/live/pays-bas-eerste-divisie-2024-2025-jong-fc-utrecht-fc-emmen
1822756,Pays Bas Eerste,Divisie,2024-2025,Jong Ajax Fc Den Bosch,/matches/1822756/live/pays-bas-eerste-divisie-2024-2025-jong-ajax-fc-den-bosch
1822757,Pays Bas Eerste,Divisie,2024-2025,Top Oss Cambuur,/matches/1822757/live/pays-bas-eerste-divisie-2024-2025-top-oss-cambuur
1822758,Pays Bas Eerste,Divisie,2024-2025,Fc Emmen Helmond Sport,/matches/1822758/live/pays-bas-eerste-divisie-2024-2025-fc-emmen-helmond-sport
1822759,Pays Bas Eerste,Divisie,2024-2025,De Graafschap Fc Volendam,/matches/1822759/live/pays-bas-eerste-divisie-2024-2025-de-graafschap-fc-volendam
1822760,Pays Bas Eerste,Divisie,2024-2025,De Graafschap Jong Fc Utrecht,/matches/1822760/live/pays-bas-eerste-divisie-2024-2025-de-graafschap-jong-fc-utrecht
