league,journey,season,date,hours,referee,stadium,team1,team2,action_minute,action_score,action_description,action_type,action_team,link
Ligue 1,Journée 24,2024/2025,01/03/2025,21:05,François Letexier,Parc des Princes,Paris Saint-Germain,Lille,46,4:0,Hákon Arnar Haraldsson pour Mitchel Bakker,Substitute,Lille,
Ligue 1,Journée 24,2024/2025,01/03/2025,21:05,François Letexier,Parc des Princes,Paris Saint-Germain,Lille,46,4:0,Ethan Mbappé pour Angel Gomes,Substitute,Lille,
Ligue 1,Journée 24,2024/2025,01/03/2025,21:05,François Letexier,Parc des Princes,Paris Saint-Germain,Lille,62,4:0,Willian Pacho pour Nuno Mendes,Substitute,Paris Saint-Germain,
Ligue 1,Journée 24,2024/2025,01/03/2025,21:05,François Letexier,Parc des Princes,Paris Saint-Germain,Lille,62,4:0,Warren Zaïre-Emery pour Achraf Hakimi,Substitute,Paris Saint-Germain,
Ligue 1,Journée 24,2024/2025,01/03/2025,21:05,François Letexier,Parc des Princes,Paris Saint-Germain,Lille,63,4:0,Khvicha Kvaratskhelia pour Ousmane Dembélé,Substitute,Paris Saint-Germain,
Ligue 1,Journée 24,2024/2025,01/03/2025,21:05,François Letexier,Parc des Princes,Paris Saint-Germain,Lille,63,4:0,Vitinha pour João Neves,Substitute,Paris Saint-Germain,
Ligue 1,Journée 24,2024/2025,01/03/2025,21:05,François Letexier,Parc des Princes,Paris Saint-Germain,Lille,63,4:0,Jonathan David pour Chuba Akpom,Substitute,Lille,
Ligue 1,Journée 24,2024/2025,01/03/2025,21:05,François Letexier,Parc des Princes,Paris Saint-Germain,Lille,63,4:0,Ayyoub Bouaddi pour Ngal'Ayel Mukau,Substitute,Lille,
Ligue 1,Journée 24,2024/2025,01/03/2025,21:05,François Letexier,Parc des Princes,Paris Saint-Germain,Lille,75,4:0,Lee Kang-in pour Désiré Doué,Substitute,Paris Saint-Germain,
Ligue 1,Journée 24,2024/2025,01/03/2025,21:05,François Letexier,Parc des Princes,Paris Saint-Germain,Lille,80,4:1,Jonathan David,Goal,Lille,
Ligue 1,Journée 24,2024/2025,01/03/2025,21:05,François Letexier,Parc des Princes,Paris Saint-Germain,Lille,80,4:1,Ismaily pour Gabriel Gudmundsson,Substitute,Lille,
Ligue 1,Journée 24,2024/2025,01/03/2025,21:05,François Letexier,Parc des Princes,Paris Saint-Germain,Lille,92,4:1,Ismaily,Yellow Card,Lille,
Ligue 1,Journée 24,2024/2025,02/03/2025,15:00,Benoît Millot,Groupama Stadium,Lyon,Brest,15,0:1,Kenny Lala (Pen),Goal score,Brest,
Ligue 1,Journée 24,2024/2025,02/03/2025,15:00,Benoît Millot,Groupama Stadium,Lyon,Brest,24,1:1,Alexandre Lacazette - Passe décisive : Rayan Cherki,Goal,Lyon,https://fbref.com/fr/matchs/9e7b9e2a/Lyon-Brest-2-Mars-2025-Ligue-1
Ligue 1,Journée 24,2024/2025,02/03/2025,15:00,Benoît Millot,Groupama Stadium,Lyon,Brest,34,1:1,Tanner Tessmann,Yellow Card,Lyon,
Ligue 1,Journée 24,2024/2025,02/03/2025,15:00,Benoît Millot,Groupama Stadium,Lyon,Brest,48,1:1,Alexandre Lacazette,Yellow Card,Lyon,
Ligue 1,Journée 24,2024/2025,02/03/2025,15:00,Benoît Millot,Groupama Stadium,Lyon,Brest,59,1:1,Kenny Lala,Yellow Card,Brest,
Ligue 1,Journée 24,2024/2025,02/03/2025,15:00,Benoît Millot,Groupama Stadium,Lyon,Brest,70,1:1,Nemanja Matić pour Tanner Tessmann,Substitute,Lyon,
Ligue 1,Journée 24,2024/2025,02/03/2025,15:00,Benoît Millot,Groupama Stadium,Lyon,Brest,82,2:1,Alexandre Lacazette - Passe décisive : Rayan Cherki,Goal,Lyon,
Ligue 1,Journée 24,2024/2025,02/03/2025,15:00,Benoît Millot,Groupama Stadium,Lyon,Brest,83,2:1,Malick Fofana pour Alexandre Lacazette,Substitute,Lyon,
Ligue 1,Journée 24,2024/2025,02/03/2025,15:00,Benoît Millot,Groupama Stadium,Lyon,Brest,90,2:1,Ernest Nuamah pour Rayan Cherki,Substitute,Lyon,
Ligue 1,Journée 24,2024/2025,02/03/2025,15:00,Benoît Millot,Groupama Stadium,Lyon,Brest,90,2:1,Kamory Doumbia pour Hugo Magnetti,Substitute,Brest,
Ligue 1,Journée 24,2024/2025,02/03/2025,15:00,Benoît Millot,Groupama Stadium,Lyon,Brest,90,2:1,Jonas Martin pour Mathias Pereira Lage,Substitute,Brest,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Mathieu Vernice,Stade de l'Abbé Deschamps,Auxerre,Strasbourg,16,0:0,Valentín Barco,Yellow Card,Strasbourg,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Mathieu Vernice,Stade de l'Abbé Deschamps,Auxerre,Strasbourg,38,0:0,Guimissongui Ouattara pour Habib Diarra,Substitute,Strasbourg,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Mathieu Vernice,Stade de l'Abbé Deschamps,Auxerre,Strasbourg,47,0:1,Emanuel Emegha - Passe décisive : Guimissongui Ouattara,Goal,Strasbourg,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Mathieu Vernice,Stade de l'Abbé Deschamps,Auxerre,Strasbourg,57,0:1,Diego Moreira pour Sebastian Nanasi,Substitute,Strasbourg,
Ligue 1,Journée 24,2024/2025,02/03/2025,17:15,Mathieu Vernice,Stade de l'Abbé Deschamps,Auxerre,Strasbourg,63,0:1,Clément Akpa,Yellow Card,Auxerre,https://fbref.com/fr/matchs/370220dd/Auxerre-Strasbourg-2-Mars-2025-Ligue-1
